Index,Cathode,O,N,B,S,P,SSA,PV,mic/mes,ID/IG,Elyte,Current collector,Active mass loading,PW,CD,Cs
199,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,1,43.4
200,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,2,38.9
201,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,3,36.5
202,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,4,34.8
203,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,5,33.2
204,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,7,30.2
205,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,10,26.7
206,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,15,24.7
207,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,20,21.6
208,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,177.7
209,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,1,148.5
210,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,2,135.5
211,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,3,127.9
212,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,4,122.1
213,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,5,117
214,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,7,107.5
215,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,10,102.9
216,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,15,91.3
217,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,20,85.5
218,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,108.2
219,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,1,96.6
220,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,2,86.9
221,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,3,82
222,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,4,78.7
223,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,5,75.2
224,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,7,72
225,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,10,67.1
226,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,15,60.5
227,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,20,57
237,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.05,108.5
238,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.1,85.9
239,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.2,73.1
240,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.3,68.7
241,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.5,65
242,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,1,60.8
243,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,2,55.3
