O,N,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
8,8.12,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,5,108.7
8,8.12,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,10,95.5
8,8.12,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,20,82.3
9.75,7.83,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.2,250
9.75,7.83,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.5,217.5
9.75,7.83,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,1,184.3
9.75,7.83,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,2,163.5
9.75,7.83,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,5,156.8
9.75,7.83,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,10,151.9
9.75,7.83,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,20,149.2
9.75,7.83,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,5,1.8,0.2,268
9.75,7.83,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,20,1.8,0.2,210
4.41,12.14,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,0.2,138.5
4.41,12.14,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,0.5,112.9
4.41,12.14,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,1,98.1
4.41,12.14,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,2,89.3
4.41,12.14,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,5,77.6
4.41,12.14,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,10,69
4.41,12.14,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,20,61.8
4.41,12.14,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,40,48.7
4.41,12.14,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,60,38.7
4.41,12.14,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,80,28.8
5.51,5.19,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,0.2,149.9
5.51,5.19,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,0.5,128.2
5.51,5.19,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,1,112.4
