Index,Cathode,O,N,B,S,P,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,Current collector,mact,DV,I/m,Cs
156,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,30,44.8
157,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,0.2,132.9
158,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,0.5,114.4
159,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,1,108.9
160,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,2,99.4
161,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,3,95.6
162,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,4,91.1
163,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,5,89.9
164,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,10,83.3
165,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,15,80.8
166,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,20,76.6
167,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,30,73.3
168,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,40,68.8
169,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2,1,2.5,1.6,50,65.2
170,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,0.2,67.8
171,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,0.5,59.8
172,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,1,56.8
173,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,2,53.2
174,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,3,51.7
175,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,4,49.9
176,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,5,49.2
177,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,10,45.5
178,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,15,43.7
179,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,20,41.1
180,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2,1,2.5,1.6,30,37.4
181,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,0.05,181.67
182,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,0.1,132.7
183,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,0.2,116.9
184,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,0.3,106.1
185,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,0.5,98.3
186,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,1,91.1
187,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,2,84.9
188,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,3,81.9
189,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,5,78.2
190,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,10,73.5
191,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,15,68.9
192,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2,2,2,1.6,20,66.71
193,CK,4.77,0,0,0,0,1644,0.96,1.330 ,1.06,1,2,1.945,1.6,0.1,52.9
194,CK,4.77,0,0,0,0,1644,0.96,1.330 ,1.06,1,2,1.945,1.6,0.2,48.7
195,CK,4.77,0,0,0,0,1644,0.96,1.330 ,1.06,1,2,1.945,1.6,0.5,43.8
196,CK,4.77,0,0,0,0,1644,0.96,1.330 ,1.06,1,2,1.945,1.6,1,40
197,CK,4.77,0,0,0,0,1644,0.96,1.330 ,1.06,1,2,1.945,1.6,2,36.5
198,CK,4.77,0,0,0,0,1644,0.96,1.330 ,1.06,1,2,1.945,1.6,5,31.4
199,CK,4.77,0,0,0,0,1644,0.96,1.330 ,1.06,1,2,1.945,1.6,10,26.9
200,CK,4.77,0,0,0,0,1644,0.96,1.330 ,1.06,1,2,1.945,1.6,20,21.4
201,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1,2,1.945,1.6,0.1,103.2
202,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1,2,1.945,1.6,0.2,93.7
