O,N,B,S,P,SSA,Vt,mic/mes,ID/IG,Elyte,CurCol,Active mass loading,DV,I/m,Cs
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,2,56
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,5,50.4
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,10,46.6
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,20,43.7
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,50,39.1
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,100,35.4
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,200,30.4
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,0.1,92.4
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,0.2,73.1
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,0.5,62.4
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,1,56
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,2,51.3
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,5,45.7
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,10,42.3
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,20,38.9
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,50,33.3
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,100,28.7
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel,2,1.6,200,27.2
12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.1,204.7
12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.2,181.5
12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.5,165.9
12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,1,152.7
12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,2,141.1
12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,5,134.2
12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,10,128.6
11.54,0,0,0,0,502.711,0.115,,0.999,1M ZnSO4,Carbon cloth,,1.6,0.5,16.66666667
