O,N,S,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,mact,DV,I/m,Cs
10.72,2.83,0.63,909,0.44,13.667,0.93,3,1.35,1.7,3,38.1
10.72,2.83,0.63,909,0.44,13.667,0.93,3,1.35,1.7,4,34.6
10.72,2.83,0.63,909,0.44,13.667,0.93,3,1.35,1.7,5,32.1
9.1,3.1,0,1055,0.95,0.583,1.06,2,1,1.7,0.1,230
9.1,3.1,0,1055,0.95,0.583,1.06,2,1,1.7,0.2,165
9.1,3.1,0,1055,0.95,0.583,1.06,2,1,1.7,0.5,150
9.1,3.1,0,1055,0.95,0.583,1.06,2,1,1.7,1,137
9.1,3.1,0,1055,0.95,0.583,1.06,2,1,1.7,2,127
9.1,3.1,0,1055,0.95,0.583,1.06,2,1,1.7,5,122
9.1,3.1,0,1055,0.95,0.583,1.06,2,1,1.7,10,118
11.79,1.98,0.24,1613.9,0.93,11.4,0.98,4,10,1.8,1,233
11.79,1.98,0.24,1613.9,0.93,11.4,0.98,4,10,1.8,2,212
11.79,1.98,0.24,1613.9,0.93,11.4,0.98,4,10,1.8,5,180.5
11.79,1.98,0.24,1613.9,0.93,11.4,0.98,4,10,1.8,10,152.5
11.79,1.98,0.24,1613.9,0.93,11.4,0.98,4,10,1.8,20,124
11.79,1.98,0.24,1613.9,0.93,11.4,0.98,4,10,1.8,50,83
6.1,7.2,0,1843,1.1,0.447,1.01,2,1,1.6,0.5,181
6.1,7.2,0,1843,1.1,0.447,1.01,2,1,1.6,1,153.3
6.1,7.2,0,1843,1.1,0.447,1.01,2,1,1.6,2,137.2
6.1,7.2,0,1843,1.1,0.447,1.01,2,1,1.6,3,130.2
6.1,7.2,0,1843,1.1,0.447,1.01,2,1,1.6,5,121.7
6.1,7.2,0,1843,1.1,0.447,1.01,2,1,1.6,10,110.4
6.1,7.2,0,1843,1.1,0.447,1.01,2,1,1.6,15,104
4.2,6.3,0,543,0.9,0.125,0.99,2,1,1.6,0.5,110
4.2,6.3,0,543,0.9,0.125,0.99,2,1,1.6,1,97.8
4.2,6.3,0,543,0.9,0.125,0.99,2,1,1.6,2,89.8
4.2,6.3,0,543,0.9,0.125,0.99,2,1,1.6,3,84.9
4.2,6.3,0,543,0.9,0.125,0.99,2,1,1.6,5,78.4
4.2,6.3,0,543,0.9,0.125,0.99,2,1,1.6,10,67.2
4.2,6.3,0,543,0.9,0.125,0.99,2,1,1.6,15,58.2
10.8,5.7,0,1454,0.83,0.122,1.05,2,1,1.6,0.5,98
10.8,5.7,0,1454,0.83,0.122,1.05,2,1,1.6,1,81.7
10.8,5.7,0,1454,0.83,0.122,1.05,2,1,1.6,2,72.2
10.8,5.7,0,1454,0.83,0.122,1.05,2,1,1.6,3,67
10.8,5.7,0,1454,0.83,0.122,1.05,2,1,1.6,5,60.7
10.8,5.7,0,1454,0.83,0.122,1.05,2,1,1.6,10,50.9
10.8,5.7,0,1454,0.83,0.122,1.05,2,1,1.6,15,45.1
7.71,0,0,500,0.315,1.645,0.97,1,1.2,1.6,0.5,48.3
7.71,0,0,500,0.315,1.645,0.97,1,1.2,1.6,1,43.4
7.71,0,0,500,0.315,1.645,0.97,1,1.2,1.6,2,38.9
7.71,0,0,500,0.315,1.645,0.97,1,1.2,1.6,3,36.5
7.71,0,0,500,0.315,1.645,0.97,1,1.2,1.6,4,34.8
7.71,0,0,500,0.315,1.645,0.97,1,1.2,1.6,5,33.2
7.71,0,0,500,0.315,1.645,0.97,1,1.2,1.6,7,30.2
7.71,0,0,500,0.315,1.645,0.97,1,1.2,1.6,10,26.7
7.71,0,0,500,0.315,1.645,0.97,1,1.2,1.6,15,24.7
7.71,0,0,500,0.315,1.645,0.97,1,1.2,1.6,20,21.6
8.06,0,0,1020,0.721,1.36,1.1,1,1.2,1.6,0.5,177.7
8.06,0,0,1020,0.721,1.36,1.1,1,1.2,1.6,1,148.5
8.06,0,0,1020,0.721,1.36,1.1,1,1.2,1.6,2,135.5
8.06,0,0,1020,0.721,1.36,1.1,1,1.2,1.6,3,127.9
8.06,0,0,1020,0.721,1.36,1.1,1,1.2,1.6,4,122.1
8.06,0,0,1020,0.721,1.36,1.1,1,1.2,1.6,5,117
8.06,0,0,1020,0.721,1.36,1.1,1,1.2,1.6,7,107.5
8.06,0,0,1020,0.721,1.36,1.1,1,1.2,1.6,10,102.9
8.06,0,0,1020,0.721,1.36,1.1,1,1.2,1.6,15,91.3
8.06,0,0,1020,0.721,1.36,1.1,1,1.2,1.6,20,85.5
9.3,0,0,950,0.784,1.143,1.18,1,1.2,1.6,0.5,108.2
9.3,0,0,950,0.784,1.143,1.18,1,1.2,1.6,1,96.6
9.3,0,0,950,0.784,1.143,1.18,1,1.2,1.6,2,86.9
9.3,0,0,950,0.784,1.143,1.18,1,1.2,1.6,3,82
9.3,0,0,950,0.784,1.143,1.18,1,1.2,1.6,4,78.7
9.3,0,0,950,0.784,1.143,1.18,1,1.2,1.6,5,75.2
9.3,0,0,950,0.784,1.143,1.18,1,1.2,1.6,7,72
9.3,0,0,950,0.784,1.143,1.18,1,1.2,1.6,10,67.1
9.3,0,0,950,0.784,1.143,1.18,1,1.2,1.6,15,60.5
9.3,0,0,950,0.784,1.143,1.18,1,1.2,1.6,20,57
